TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN
1745700936;4/26/2025 8:55:36 PM;28.69;43.2;61.65;993.1;23.76;141;0
1745700998;4/26/2025 8:56:38 PM;28.63;43.1;61.66;993.2;14.4;147;0
1745701061;4/26/2025 8:57:41 PM;28.59;42.9;62.1;993.2;13.32;151;0
1745701124;4/26/2025 8:58:44 PM;28.55;42.6;62.01;993.1;15.48;143;0
1745701186;4/26/2025 8:59:46 PM;28.6;42.6;62.71;993.1;9.36;135;0
1745701249;4/26/2025 9:00:49 PM;28.67;42.4;62.88;993.2;8.64;144;0
1745701312;4/26/2025 9:01:52 PM;28.64;42.2;62.2;993.2;18.0;174;0
1745701374;4/26/2025 9:02:54 PM;28.56;42.1;62.58;993.2;18.0;172;0
1745701437;4/26/2025 9:03:57 PM;28.5;41.9;63.53;993.1;5.04;175;0
1745701500;4/26/2025 9:05:00 PM;28.54;41.7;63.32;993.2;12.24;167;0
1745701562;4/26/2025 9:06:02 PM;28.59;41.6;63.24;993.2;10.44;163;0
1745701625;4/26/2025 9:07:05 PM;28.54;41.4;63.38;993.2;9.0;152;0
1745701688;4/26/2025 9:08:08 PM;28.52;41.3;63.46;993.1;8.64;151;0
1745701750;4/26/2025 9:09:10 PM;28.51;41.2;63.96;993.1;9.72;168;0
1745701813;4/26/2025 9:10:13 PM;28.57;41.2;62.84;993.0;15.12;151;0
1745701876;4/26/2025 9:11:16 PM;28.55;41.2;62.88;993.1;11.88;151;0
1745701939;4/26/2025 9:12:19 PM;28.52;41.1;62.29;993.0;13.68;158;0
1745702001;4/26/2025 9:13:21 PM;28.53;40.8;62.17;993.1;15.48;154;0
1745702064;4/26/2025 9:14:24 PM;28.52;40.7;62.3;993.1;9.0;156;0
1745702127;4/26/2025 9:15:27 PM;28.56;40.6;62.61;993.1;9.72;171;0
1745702189;4/26/2025 9:16:29 PM;28.56;40.4;62.26;993.2;10.44;189;0
1745702252;4/26/2025 9:17:32 PM;28.56;40.4;62.43;993.2;10.8;189;0
1745702315;4/26/2025 9:18:35 PM;28.54;40.3;62.19;993.2;12.24;172;0
1745702377;4/26/2025 9:19:37 PM;28.53;40.2;63.07;993.2;8.64;177;0
1745702440;4/26/2025 9:20:40 PM;28.56;40.2;62.94;993.1;8.28;143;0
1745702503;4/26/2025 9:21:43 PM;28.63;40.2;62.71;993.1;11.16;153;0
1745702565;4/26/2025 9:22:45 PM;28.71;40.2;62.64;993.0;13.68;158;0
1745702628;4/26/2025 9:23:48 PM;28.75;40.2;61.65;993.1;18.0;161;0
1745702691;4/26/2025 9:24:51 PM;28.75;40.3;61.28;993.0;10.8;170;0
1745702753;4/26/2025 9:25:53 PM;28.73;40.3;61.64;993.1;14.04;173;0
1745702816;4/26/2025 9:26:56 PM;28.73;40.3;61.09;993.1;19.08;175;0
1745702879;4/26/2025 9:27:59 PM;28.75;40.2;61.11;993.1;16.92;178;0
1745702942;4/26/2025 9:29:02 PM;28.81;40.3;61.01;993.1;13.32;177;0
1745703004;4/26/2025 9:30:04 PM;28.86;40.5;61.17;993.2;11.16;174;0
1745703067;4/26/2025 9:31:07 PM;28.94;40.7;61.7;993.0;12.6;153;0
1745703130;4/26/2025 9:32:10 PM;29.01;40.8;62.17;993.1;11.16;184;0
1745703192;4/26/2025 9:33:12 PM;29.03;40.9;62.55;993.1;17.64;159;0
1745703255;4/26/2025 9:34:15 PM;28.97;40.9;63.2;993.1;14.76;143;0
1745703318;4/26/2025 9:35:18 PM;28.96;40.9;63.31;993.0;10.8;150;0
1745703380;4/26/2025 9:36:20 PM;28.94;41.6;63.62;993.1;13.68;154;0
1745703443;4/26/2025 9:37:23 PM;28.95;41.6;63.42;993.0;14.4;162;0
1745703506;4/26/2025 9:38:26 PM;28.89;42.1;63.87;993.0;10.08;138;0
1745703568;4/26/2025 9:39:28 PM;28.96;42.2;64.36;993.0;9.36;140;0
1745703631;4/26/2025 9:40:31 PM;29.12;42.4;62.9;993.0;16.92;147;0
1745703694;4/26/2025 9:41:34 PM;27.8;39.5;72.3;991.8;22.5;185;1
1745703757;4/26/2025 9:42:37 PM;27.5;38.9;75.6;991.5;24.8;190;1
1745703820;4/26/2025 9:43:40 PM;27.2;38.2;78.9;991.2;26.3;192;1
1745703883;4/26/2025 9:44:43 PM;26.9;37.8;81.2;990.9;28.1;195;1
1745703946;4/26/2025 9:45:46 PM;26.7;37.3;82.5;990.7;29.4;198;1
1745704009;4/26/2025 9:46:49 PM;26.5;36.9;83.8;990.5;30.2;200;1
1745704072;4/26/2025 9:47:52 PM;26.3;36.5;84.6;990.3;31.5;203;1
1745704135;4/26/2025 9:48:55 PM;26.1;36.2;85.2;990.1;32.3;205;1
1745704198;4/26/2025 9:49:58 PM;25.9;35.8;86.1;989.9;33.1;208;1
1745704261;4/26/2025 9:51:01 PM;25.8;35.5;86.8;989.8;33.8;210;1
1745704324;4/26/2025 9:52:04 PM;25.6;35.2;87.3;989.6;34.2;212;1
1745704387;4/26/2025 9:53:07 PM;25.5;34.9;87.9;989.5;34.6;215;1
1745704450;4/26/2025 9:54:10 PM;26.1;35.3;86.5;989.9;32.8;210;1
1745704513;4/26/2025 9:55:13 PM;26.4;35.8;84.2;990.2;30.5;205;1
1745704576;4/26/2025 9:56:16 PM;26.8;36.4;81.8;990.5;28.2;200;1
1745704639;4/26/2025 9:57:19 PM;27.2;37.1;78.5;990.9;25.6;195;1
1745704702;4/26/2025 9:58:22 PM;27.6;37.8;75.3;991.2;23.1;188;0
1745704765;4/26/2025 9:59:25 PM;28.1;38.6;72.1;991.6;20.4;182;0
1745704828;4/26/2025 10:00:28 PM;28.5;39.3;69.2;991.9;18.3;175;0
1745704891;4/26/2025 10:01:31 PM;28.9;40.1;66.8;992.3;16.1;168;0
1745704954;4/26/2025 10:02:34 PM;24.3;33.8;89.5;988.5;35.7;220;1
1745705017;4/26/2025 10:03:37 PM;24.1;33.4;90.1;988.3;36.2;222;1
1745705080;4/26/2025 10:04:40 PM;23.9;33.1;90.6;988.1;36.8;225;1
1745705143;4/26/2025 10:05:43 PM;23.8;32.9;91.0;987.9;37.1;227;1
1745705206;4/26/2025 10:06:46 PM;24.5;33.5;88.7;988.6;34.5;218;1
1745705269;4/26/2025 10:07:49 PM;25.2;34.2;85.9;989.2;31.8;210;1
1745705332;4/26/2025 10:08:52 PM;25.9;35.0;82.4;989.8;28.9;202;1
1745705395;4/26/2025 10:09:55 PM;26.7;35.9;78.6;990.5;25.7;194;0
1745705458;4/26/2025 10:10:58 PM;27.4;36.8;74.5;991.1;22.4;185;0
1745705521;4/26/2025 10:12:01 PM;28.2;37.9;70.2;991.8;19.1;176;0
1745705584;4/26/2025 10:13:04 PM;28.8;38.9;66.8;992.4;16.5;168;0
1745705647;4/26/2025 10:14:07 PM;29.3;39.8;64.1;992.9;14.2;160;0
